policy,latency_ms,P_gt
SafeTail-2.0 (het),36.629849,0.6013720029885213
SafeTail-2.0 (het),36.685273,0.5989268491475922
SafeTail-2.0 (het),36.735273,0.5964816953066631
SafeTail-2.0 (het),36.791615,0.5940365414657338
SafeTail-2.0 (het),36.832709,0.5915913876248047
SafeTail-2.0 (het),36.885393,0.5891462337838755
SafeTail-2.0 (het),36.935393,0.5867010799429464
SafeTail-2.0 (het),36.988325,0.5842559261020173
SafeTail-2.0 (het),37.042287,0.5818107722610881
SafeTail-2.0 (het),37.114344,0.579365618420159
SafeTail-2.0 (het),37.184513,0.5769204645792299
SafeTail-2.0 (het),37.241615,0.5744753107383006
SafeTail-2.0 (het),37.325915,0.5720301568973715
SafeTail-2.0 (het),37.382709,0.5695850030564422
SafeTail-2.0 (het),37.435393,0.5671398492155131
SafeTail-2.0 (het),37.514344,0.5646946953745839
SafeTail-2.0 (het),37.585393,0.5622495415336548
SafeTail-2.0 (het),37.676719,0.5598043876927257
SafeTail-2.0 (het),37.738978,0.5573592338517965
SafeTail-2.0 (het),37.792513,0.5549140800108674
SafeTail-2.0 (het),37.892513,0.5524689261699383
SafeTail-2.0 (het),37.985393,0.550023772329009
SafeTail-2.0 (het),38.079849,0.5475786184880799
SafeTail-2.0 (het),38.164344,0.5451334646471507
SafeTail-2.0 (het),38.229849,0.5426883108062215
SafeTail-2.0 (het),38.30222,0.5402431569652923
SafeTail-2.0 (het),38.382709,0.5377980031243632
SafeTail-2.0 (het),38.475915,0.5353528492834341
SafeTail-2.0 (het),38.575915,0.5329076954425049
SafeTail-2.0 (het),38.679849,0.5304625416015758
SafeTail-2.0 (het),38.742513,0.5280173877606467
SafeTail-2.0 (het),38.839786,0.5255722339197175
SafeTail-2.0 (het),38.932709,0.5231270800787883
SafeTail-2.0 (het),39.029849,0.5206819262378591
SafeTail-2.0 (het),39.129849,0.51823677239693
SafeTail-2.0 (het),39.229849,0.5157916185560008
SafeTail-2.0 (het),39.338325,0.5133464647150716
SafeTail-2.0 (het),39.435393,0.5109013108741425
SafeTail-2.0 (het),39.529849,0.5084561570332133
SafeTail-2.0 (het),39.634513,0.5060110031922842
SafeTail-2.0 (het),39.735273,0.5035658493513551
SafeTail-2.0 (het),39.835393,0.5011206955104259
SafeTail-2.0 (het),39.927001,0.4986755416694967
SafeTail-2.0 (het),40.035273,0.49623038782856754
SafeTail-2.0 (het),40.184513,0.4937852339876384
SafeTail-2.0 (het),40.289786,0.49134008014670927
SafeTail-2.0 (het),40.427001,0.48889492630578
SafeTail-2.0 (het),40.509954,0.4864497724648509
SafeTail-2.0 (het),40.660817,0.48400461862392175
SafeTail-2.0 (het),40.829849,0.4815594647829926
SafeTail-2.0 (het),40.977001,0.47911431094206347
SafeTail-2.0 (het),41.093417,0.47666915710113433
SafeTail-2.0 (het),41.212673,0.4742240032602051
SafeTail-2.0 (het),41.329849,0.47177884941927595
SafeTail-2.0 (het),41.501712,0.4693336955783468
SafeTail-2.0 (het),41.629849,0.4668885417374177
SafeTail-2.0 (het),41.729849,0.46444338789648854
SafeTail-2.0 (het),41.814344,0.4619982340555593
SafeTail-2.0 (het),41.927001,0.45955308021463015
SafeTail-2.0 (het),42.029849,0.457107926373701
SafeTail-2.0 (het),42.167773,0.4546627725327719
SafeTail-2.0 (het),42.253469,0.45221761869184274
SafeTail-2.0 (het),42.379849,0.4497724648509135
SafeTail-2.0 (het),42.520769,0.44732731100998435
SafeTail-2.0 (het),42.632709,0.4448821571690552
SafeTail-2.0 (het),42.777001,0.4424370033281261
SafeTail-2.0 (het),42.964344,0.43999184948719694
SafeTail-2.0 (het),43.070769,0.4375466956462677
SafeTail-2.0 (het),43.170769,0.43510154180533855
SafeTail-2.0 (het),43.320769,0.4326563879644094
SafeTail-2.0 (het),43.45369,0.4302112341234803
SafeTail-2.0 (het),43.588175,0.42776608028255114
SafeTail-2.0 (het),43.775658,0.425320926441622
SafeTail-2.0 (het),43.942513,0.42287577260069276
SafeTail-2.0 (het),44.067773,0.4204306187597636
SafeTail-2.0 (het),44.225915,0.4179854649188345
SafeTail-2.0 (het),44.370769,0.41554031107790534
SafeTail-2.0 (het),44.538325,0.4130951572369762
SafeTail-2.0 (het),44.670769,0.41065000339604696
SafeTail-2.0 (het),44.788093,0.4082048495551178
SafeTail-2.0 (het),44.929849,0.4057596957141887
SafeTail-2.0 (het),45.039656,0.40331454187325955
SafeTail-2.0 (het),45.160251,0.4008693880323304
SafeTail-2.0 (het),45.267773,0.39842423419140116
SafeTail-2.0 (het),45.377001,0.395979080350472
SafeTail-2.0 (het),45.491615,0.3935339265095429
SafeTail-2.0 (het),45.584503,0.39108877266861375
SafeTail-2.0 (het),45.730221,0.3886436188276846
SafeTail-2.0 (het),45.821367,0.38619846498675536
SafeTail-2.0 (het),45.935393,0.3837533111458262
SafeTail-2.0 (het),46.017773,0.3813081573048971
SafeTail-2.0 (het),46.120769,0.37886300346396795
SafeTail-2.0 (het),46.216086,0.3764178496230388
SafeTail-2.0 (het),46.317773,0.3739726957821097
SafeTail-2.0 (het),46.410933,0.37152754194118043
SafeTail-2.0 (het),46.487195,0.3690823881002513
SafeTail-2.0 (het),46.592513,0.36663723425932215
SafeTail-2.0 (het),46.684513,0.364192080418393
SafeTail-2.0 (het),46.778351,0.3617469265774639
SafeTail-2.0 (het),46.843417,0.35930177273653463
SafeTail-2.0 (het),46.928351,0.3568566188956055
SafeTail-2.0 (het),47.028351,0.35441146505467636
SafeTail-2.0 (het),47.170769,0.3519663112137472
SafeTail-2.0 (het),47.25369,0.3495211573728181
SafeTail-2.0 (het),47.328351,0.34707600353188883
SafeTail-2.0 (het),47.40369,0.3446308496909597
SafeTail-2.0 (het),47.478351,0.34218569585003056
